Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
272598.59,4891531.55,2186.594,-25.6836
272551.05,4891515.75,2183.453,-26.0759
272503.71,4891501.09,2178.881,-26.4781
272456.31,4891486.56,2175.153,-26.837
272408.16,4891471.96,2170.719,-27.1836
272685.63,4891550.36,2187.981,-25.521
272686.01,4891561.47,2189.259,-25.6574
272766.38,4891569.81,2193.716,-24.8741
272766,4891558.71,2202.172,-24.9164
272766.76,4891580.92,2214.254,-24.3279
272766.76,4891580.92,2225.056,-24.1734
272088.39,4890492.32,2136.422,-29.8619
268911.85,4888990.59,1928.179,-48.8141
314318.6431,4834109.049,1622.8,0
300146.9461,4829986.17,1661.3,-7.37798
301363.0908,4829965.942,1648.7,-6.96638
302560.0334,4829903.973,1637.807,-7.70543
303803.7806,4829815.808,1628.649,-8.25962
305033.585,4829708.678,1621.528,-7.59348
306414.7643,4829685.639,1619.541,-5.66
307741.4136,4829652.789,1615.875,-5.99141
308962.4498,4829609.492,1614.702,-6.91861
310248.9438,4829577.933,1613.018,-8.16648
312219.4851,4829524.469,1608.638,-8.79045
313248.1628,4829899.198,1606.625,-8.57552
314583.8581,4829460.036,1598.951,-3.30794
316239.2249,4829432.284,1591.998,2.83461
305069.0952,4832149.343,1628.005,-10.4418
310005.983,4833813.542,1655.033,-15.5546
312296.1795,4832326.463,1613.62,-13.1958
313521.7899,4832696.155,1607.144,-9.85887
315644.4703,4833447.323,1626.769,2.70868
316786.9307,4833409.34,1624.015,2.63399
317915.0179,4831824.282,1615.886,7.27549
319515.3431,4831782.379,1619.005,11.6945
319597.8791,4833339.772,1679.912,12.6996
299794.4162,4838553.233,1770.145,-11.9096
301460.7459,4838351.348,1741.87,-8.78773
302919.8314,4837377.265,1710.817,-6.32358
304622.6504,4836240.778,1683.577,-4.99906
306353.4182,4836076.355,1634.241,-8.07551
306451.5528,4837739.355,1639.214,-8.98906
308176.4069,4837685.506,1633.363,-12.7688
310032.9512,4837608.981,1628.937,-12.1963
310455.2934,4835996.49,1633.301,-14.2256
311895.7316,4837569.525,1625.698,-10.1128
313123.2761,4835917.119,1619.113,-3.53518
312656.0425,4837536.77,1628.593,-4.97901
306950.6388,4840939.197,1661.542,-11.8801
308511.0119,4840917.468,1642.309,-13.9334
309944.7541,4840837.182,1640.322,-15.6448
311453.5897,4840792.361,1638.745,-13.8952
