Easting (m),Northing (m),Elevation (m),Gravity Anomaly (mGal)
244412.403,4930432.758,1516.081,-37.0699
243751.68,4932337.003,1563.223,-40.2397
244233.498,4934063.931,1538.833,-43.3735
245252.08,4935491.292,1499.398,-44.8256
245841.657,4936984.758,1484.285,-41.3305
246192.5,4939204.622,1476.985,-35.8919
246485.519,4941161.111,1466.603,-37.3747
246653.116,4943013.088,1457.674,-35.3826
247834.673,4944467.583,1456.417,-37.018
249103.106,4946035.509,1441.669,-36.9173
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
285025.536,4871086.942,1851.2,-33.1813
259167.346,4909564.909,1982.461,-40.0994
260071.608,4909935.204,2023.343,-38.7892
261011.884,4910301.677,2098.542,-33.6154
261833.862,4910850.03,2171.383,-26.3557
262837.545,4910974.174,2259.329,-17.2963
261705.014,4911375.891,2173.805,-25.0197
261141.753,4912181.484,2115.671,-26.1191
260422.67,4912621.85,2058.516,-30.3532
259400.87,4912670.771,1990.638,-35.8976
258439.269,4913035.778,1928.408,-34.6683
258243.569,4913993.206,1925.219,-32.6474
258154.109,4915067.319,1920.079,-30.1162
257675.467,4915867.464,1880.529,-30.1159
256844.856,4916427.011,1850.164,-27.2238
256605.098,4917479.489,1838.665,-26.6192
256082.601,4918380.228,1825.421,-29.5425
255286.486,4918987.632,1784.36,-33.8235
285025.536,4871086.942,1851.2,-33.1813
285025.536,4871086.942,1851.2,-33.1813
255286.486,4918987.632,1784.36,-26.6655
254683.374,4920546.067,1744.023,-42.797
255742.405,4920752.706,1793.85,-42.6206
256638.704,4921186.602,1866.841,-37.6217
257560.767,4921598.366,1925.579,-50.2617
258296.708,4921820.835,2044.258,-47.7571
258824.537,4921126.893,2160.147,-51.4379
259657.193,4920858.62,2282.195,-34.1956
251288.236,4925441.527,1657.665,-55.6093
254177.744,4921708.191,1734.95,-48.582
254991.122,4921814.3,1807.23,-22.4702
285025.536,4871086.942,1851.2,-33.1813
234480.205,4906921.36,1626.905,-20.5552
236526.591,4909209.342,1606.723,-25.3955
237713.707,4912566.299,1595.936,-28.2643
239403.689,4915297.357,1590.039,-25.9864
240777.066,4919533.21,1566.317,-21.1176
241093.524,4922245.885,1555.483,-20.6458
243185.966,4925273.706,1539.504,-32.309
243867.811,4928653.966,1520.423,-33.5991
285025.536,4871086.942,1851.2,-33.1813
314318.643,4834109.049,1622.8,0
